cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report
0,13789946,"BISHOP, CLARK",AK,SENATE,C,GENERAL REFINING CORP.,MINING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924948-AK-BISHOP-CLARK-CLICK
1,13789946,"BISHOP, CLARK",AK,SENATE,C,RAMPART EXPLORATION LLC,OIL & GAS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924948-AK-BISHOP-CLARK-CLICK
2,6614368,"CHENAULT, CHARLES",AK,HOUSE,29,QWICK CONSTRUCTION COMPANY INC.,GENERAL CONTRACTORS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924950-AK-CHENAULT-CHARLES-M-MIKE
3,9414921,"CLAMAN, MATT",AK,HOUSE,21,LANE POWELL LLC,LAWYERS & LOBBYISTS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924952-AK-CLAMAN-MATT
4,9414921,"CLAMAN, MATT",AK,HOUSE,21,TOUR WEST INC,LODGING & TOURISM,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924952-AK-CLAMAN-MATT
5,6604152,"COGHILL JR, JOHN",AK,SENATE,B,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924955-AK-COGHILL-JR-JOHN-B
6,6529940,"COLVER, JAMES",AK,HOUSE,9,COLVER SURVEYING,CONSTRUCTION SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924958-AK-COLVER-JAMES-C-JIM
7,6529940,"COLVER, JAMES",AK,HOUSE,9,MAT-SU BOROUGH MATANUSKA SUSITNA BOROUGH,CIVIL SERVANTS/PUBLIC OFFICIALS,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924958-AK-COLVER-JAMES-C-JIM
8,6692539,"COSTELLO, MIA",AK,SENATE,K,N/A,NONE,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924961-AK-COSTELLO-MIA-C
9,13789721,"DRUMMOND, HARRIET",AK,HOUSE,18,DRUMMOND DESIGN,BUSINESS SERVICES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924964-AK-DRUMMOND-HARRIET-A
10,13789721,"DRUMMOND, HARRIET",AK,HOUSE,18,ROMIG PARK IMPROVEMENT COMPANY INC.,ELECTRIC UTILITIES,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924964-AK-DRUMMOND-HARRIET-A
11,9399128,"DUNLEAVY, MICHAEL",AK,SENATE,E,EMMA ROSE INVESTMENTS LLC,SECURITIES & INVESTMENT,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924968-AK-DUNLEAVY-MICHAEL-J
12,6479039,"EDGMON, BRYCE",AK,HOUSE,37,AK ENTERPRISES,PRINTING & PUBLISHING,HTTP://DISCLOSURE.APPS.FIVETWENTYSEVEN.COM/3924971-AK-EDGMON-BRYCE
